name,address,description,tags,google_maps_url,website,source_query
Qazan Restaurant,"Itäkatu 1-7, 00930 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=4411111504026062901,https://qazan.fi/,new restaurant Helsinki
Old Captain Kalasatama Helsinki,"Capellanranta 4 b, 00580 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=504126157309860237,https://oldcaptain.fi/,new restaurant Helsinki
Restaurant Bona Fide,"Vironkatu 8, 00170 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=8714491751616673725,http://bonafide.fi/,new restaurant Helsinki
Restaurant Boreal,"Uudenmaankatu 9, 00120 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=12547743797460253912,https://www.borealhki.fi/,new restaurant Helsinki
Megobaro Töölö,"Mannerheimintie 100, 00250 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=13159064399946240223,https://megobaro.fi/,new restaurant Helsinki
Ravintola LOBO,"Kanavakatu 3, 00160 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=12388671394485313038,http://www.ravintolalobo.fi/,new restaurant Helsinki
Restaurant Fusion - Kamppi,"Urho Kekkosen katu 1, 00100 Helsinki, Finland","Venue types: bar, establishment, food, point of interest, restaurant.",bar|establishment|food|point of interest|restaurant,https://maps.google.com/?cid=16654317456212260373,https://fusion.fi/,new restaurant Helsinki
Seoul Good Redi,"Kauppakeskus Redi, Hermannin rantatie 5 1.krs, 00580 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=1200308108736343708,https://www.seoulgood.fi/,new restaurant Helsinki
Restaurant Aoi,"Neitsytpolku 10, 00140 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=4558490889609661175,https://www.restaurantaoi.com/,new restaurant Helsinki
The Alley,"Fleminginkatu 8, 00530 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=18009483654003169213,https://thealleyhelsinki.com/,new restaurant Helsinki
Gastro Hub,"Unioninkatu 30, 00100 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=15767042268138811732,https://www.gastrohub.fi/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=18200101388787801804,new restaurant Helsinki
Itsuyaki Forum,"Mannerheimintie 20 FORUM 3.krs, 00100 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=6475922826875265706,https://www.itsuyaki.fi/,new restaurant Helsinki
Zaitouna Restaurant,"Verkkosaarenranta 18b, 00580 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=9169372495737987994,http://zaitouna.fi/,new restaurant Helsinki
Restaurant Brasa,"Aleksanterinkatu 22, 00170 Helsinki, Finland","Venue types: bar, establishment, food, point of interest, restaurant.",bar|establishment|food|point of interest|restaurant,https://maps.google.com/?cid=11465919429236798241,https://brasa.fi/,new restaurant Helsinki
Georgian Supra,"Hämeentie 36, 00530 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=10674408684353072405,http://georgiansupra.fi/,new restaurant Helsinki
BISOUBISOU Rooftop Restaurant & Bar,"Hermannin rantatie 9 24. kerros, 00580 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=6241627945493471946,https://www.bisoubisou.fi/,new restaurant Helsinki
Harbore,"Katajanokanlaituri 4, 00160 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=759900401602014016,https://www.raflaamo.fi/fi/ravintola/helsinki/harbore,new restaurant Helsinki
Restaurant Flor,"Iso Roobertinkatu 16, 00120 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=15951386234459281388,https://www.restaurantflor.com/,new restaurant Helsinki
Restaurant Teller,"Fredrikinkatu 71, 00100 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=3795614812054943542,http://www.ravintolateller.fi/,new restaurant Helsinki
